ImageNumber,Image_FileName_OrigER,Image_FileName_OrigHoechst,Image_FileName_OrigMito,Image_FileName_OrigPh_golgi,Image_FileName_OrigSyto,Image_Metadata_ASSAY_WELL_ROLE,Image_Metadata_BROAD_ID,Image_Metadata_CPD_MMOL_CONC,Image_Metadata_CPD_PLATE_MAP_NAME,Image_Metadata_CPD_SMILES,Image_Metadata_CPD_WELL_POSITION,Image_Metadata_PlateID,Image_Metadata_SOURCE_COMPOUND_NAME,Image_Metadata_SOURCE_NAME,Image_Metadata_Site,Image_Metadata_Time,Image_PathName_OrigER,Image_PathName_OrigHoechst,Image_PathName_OrigMito,Image_PathName_OrigPh_golgi,Image_PathName_OrigSyto
293,IXMtest_B09_s5_w2A596C508-4621-4E69-A70C-D319BF128745.tif,IXMtest_B09_s5_w150DDA8A9-E5C1-4988-AF70-82DAF1BFCD27.tif,IXMtest_B09_s5_w5D3EE7E8A-040A-4011-9C1E-95CFFD460C64.tif,IXMtest_B09_s5_w47648E21C-5CC3-4C34-B1C4-DA654A01A221.tif,IXMtest_B09_s5_w37E9FF9D1-8F8A-4E6A-B781-BB53475ACE64.tif,compound,BRD-K83597974-003-05-7,5.110160757,H-BIOA-002-1,CN(CC#C)Cc1ccccc1,B09,20585,Pargyline hydrochloride,Prestwick Chemical Inc.,5,1.26755E+12,20585/,20585/,20585/,20585/,20585/
294,IXMtest_B09_s6_w2F53826EE-7F45-4CF5-A2C1-FF93E6C5988E.tif,IXMtest_B09_s6_w1C61B8DBA-603A-484C-ABBC-F2F1B28F809A.tif,IXMtest_B09_s6_w5BC3955AA-E7DB-4BB9-A010-BDD6C422ADC0.tif,IXMtest_B09_s6_w4AA8B0E25-D896-4E38-A655-0CBA348A9F99.tif,IXMtest_B09_s6_w3749034F9-5975-4FA3-8E09-8359592275C2.tif,compound,BRD-K83597974-003-05-7,5.110160757,H-BIOA-002-1,CN(CC#C)Cc1ccccc1,B09,20585,Pargyline hydrochloride,Prestwick Chemical Inc.,6,1.26755E+12,20585/,20585/,20585/,20585/,20585/
295,IXMtest_B09_s7_w28566E452-52AD-449A-809A-355387B12870.tif,IXMtest_B09_s7_w167A746D3-261B-49CB-957F-6D4CCAD7D790.tif,IXMtest_B09_s7_w521B579AB-513B-4B52-A588-47C60D58C034.tif,IXMtest_B09_s7_w497BC0453-D4CA-4032-8DF0-DC2BCF18C6DC.tif,IXMtest_B09_s7_w37C995CAD-2E50-426C-9070-858B279750D4.tif,compound,BRD-K83597974-003-05-7,5.110160757,H-BIOA-002-1,CN(CC#C)Cc1ccccc1,B09,20585,Pargyline hydrochloride,Prestwick Chemical Inc.,7,1.26755E+12,20585/,20585/,20585/,20585/,20585/
296,IXMtest_B09_s8_w2B5C35FA4-0193-442A-9317-960248CECB9C.tif,IXMtest_B09_s8_w18A0F9FA8-B943-4A0F-AC90-22D0D3749A6A.tif,IXMtest_B09_s8_w5C4B308E2-0F90-4133-9A37-22FF4E575380.tif,IXMtest_B09_s8_w46DD09210-887D-4C49-8D1C-0CDB754BBD7F.tif,IXMtest_B09_s8_w370E4855F-B5D4-4BBB-A908-F92BEC55BF89.tif,compound,BRD-K83597974-003-05-7,5.110160757,H-BIOA-002-1,CN(CC#C)Cc1ccccc1,B09,20585,Pargyline hydrochloride,Prestwick Chemical Inc.,8,1.26755E+12,20585/,20585/,20585/,20585/,20585/
297,IXMtest_B09_s9_w29B731627-BE38-4B89-AA6D-6BE432FB4DB9.tif,IXMtest_B09_s9_w10606D1C6-9F5B-4A0B-B478-FAC8A944F808.tif,IXMtest_B09_s9_w5019053E7-7161-4D46-B1FE-66A1DD2D0159.tif,IXMtest_B09_s9_w46B073D99-2CC6-48D4-AFDF-BEC62DBF2B92.tif,IXMtest_B09_s9_w343993A93-7079-4079-ABC5-19E2401B7EB2.tif,compound,BRD-K83597974-003-05-7,5.110160757,H-BIOA-002-1,CN(CC#C)Cc1ccccc1,B09,20585,Pargyline hydrochloride,Prestwick Chemical Inc.,9,1.26755E+12,20585/,20585/,20585/,20585/,20585/
298,IXMtest_B10_s1_w20531A1DB-ADF0-4B1F-874E-CCFE752DA8B3.tif,IXMtest_B10_s1_w101DC6F29-AA7E-4202-AEB6-4018D877D869.tif,IXMtest_B10_s1_w509B37275-E625-4A35-834E-CD5C15BEA587.tif,IXMtest_B10_s1_w4A745C0BD-A5D3-45A1-B5FE-A8A380E16230.tif,IXMtest_B10_s1_w35FA2DB8A-0606-4009-AE70-00AC3539CE5D.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,1,1.26755E+12,20585/,20585/,20585/,20585/,20585/
299,IXMtest_B10_s2_w2E1190934-0754-42DF-B07D-F2D3C858F27C.tif,IXMtest_B10_s2_w1CC97FD0C-2215-4D43-A0E6-F70B804D0D49.tif,IXMtest_B10_s2_w5B6EE1AD8-2C23-445E-999C-ABDBF82FDE13.tif,IXMtest_B10_s2_w4D908CB3D-D660-405C-B100-5E2673E0A7D6.tif,IXMtest_B10_s2_w32B0B3075-0613-41D8-9791-F04A106193C6.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,2,1.26755E+12,20585/,20585/,20585/,20585/,20585/
300,IXMtest_B10_s3_w2AB202FFE-3F44-43D2-ACB4-32C6B2FD746B.tif,IXMtest_B10_s3_w197D07503-47F0-4DAE-9CA6-EB610B82AAB9.tif,IXMtest_B10_s3_w532B6C08C-C0F0-44F9-A104-2D3CA7BF3627.tif,IXMtest_B10_s3_w49760D377-346F-4090-B4D3-084AC741A9B7.tif,IXMtest_B10_s3_w3A25FC5AD-8DAA-4CE8-B9AB-3C81A6BE2495.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,3,1.26755E+12,20585/,20585/,20585/,20585/,20585/
301,IXMtest_B10_s4_w22B9992B5-3B9B-40E4-BFF7-FB307EC9ADCE.tif,IXMtest_B10_s4_w1C02B01DD-E6A5-45E2-96B4-8639351D9D5F.tif,IXMtest_B10_s4_w58D8B2D84-17FE-4FD9-BFA7-CB8A52429462.tif,IXMtest_B10_s4_w40BF57262-0F93-48B0-B7A8-18C88EFAD7B2.tif,IXMtest_B10_s4_w39D1F2BBF-508B-4659-BC15-AF7A55830BBE.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,4,1.26755E+12,20585/,20585/,20585/,20585/,20585/
302,IXMtest_B10_s5_w2E30C4FED-0052-464D-AFE1-50D2E155EC5D.tif,IXMtest_B10_s5_w1FDEF732C-AAB7-463B-997C-03B9367910D9.tif,IXMtest_B10_s5_w576521992-E1C3-4418-8E1B-18BE1354DF16.tif,IXMtest_B10_s5_w4BA648B03-42E0-4F1C-915A-AD32FADD3958.tif,IXMtest_B10_s5_w3B3754AEC-F404-40F6-B87A-15E985D5A54C.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,5,1.26755E+12,20585/,20585/,20585/,20585/,20585/
303,IXMtest_B10_s6_w2629C83E3-9D3E-4F90-BC75-1E998495E774.tif,IXMtest_B10_s6_w1E9F5B6A4-C9AD-4409-849E-AB5AA3814969.tif,IXMtest_B10_s6_w56ECC9FEA-CBAE-49CC-8D58-C029EA169A1A.tif,IXMtest_B10_s6_w452EBB1BD-2198-421B-B8DF-97665D09141B.tif,IXMtest_B10_s6_w348F9A0F4-ECC7-4DA4-9488-C5421108BFD9.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,6,1.26755E+12,20585/,20585/,20585/,20585/,20585/
304,IXMtest_B10_s7_w2C6E6A8E2-77D6-4EAB-8EDD-B562AD1F4E70.tif,IXMtest_B10_s7_w1D8A942EF-A9D9-4B96-9796-0DCD0C928376.tif,IXMtest_B10_s7_w556EF8D76-9DC7-43A0-BDF4-3679EE1C402E.tif,IXMtest_B10_s7_w480F9F472-E9C4-4BEB-8DF4-9A420F04EADD.tif,IXMtest_B10_s7_w3D989D894-73F7-4550-B0C2-BB7526CC6760.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,7,1.26755E+12,20585/,20585/,20585/,20585/,20585/
305,IXMtest_B10_s8_w2131F16A2-1BE0-47B8-9DE1-456A65AF6345.tif,IXMtest_B10_s8_w138D772E9-AD09-4361-A79D-A12B474D0062.tif,IXMtest_B10_s8_w59E371242-240C-4FA6-AC5D-0147198F098D.tif,IXMtest_B10_s8_w49A0FB5E3-ABA6-4C93-AC30-E01FE90AC14D.tif,IXMtest_B10_s8_w3FCF33267-11C2-4ABE-9C86-75C12F74AEA0.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,8,1.26755E+12,20585/,20585/,20585/,20585/,20585/
306,IXMtest_B10_s9_w2D927C09B-6CE8-4B5E-AF51-D0E7650F9680.tif,IXMtest_B10_s9_w138EC935F-2353-4A61-8DA5-F336741D7A73.tif,IXMtest_B10_s9_w5D660DC5F-9D75-4FEB-8F7F-BA2598FA6C5C.tif,IXMtest_B10_s9_w4539C90C0-D1FD-406B-9B6D-53F7BBC0AC1C.tif,IXMtest_B10_s9_w3600D7D14-5898-4C9E-B28A-3FA285AAF0C2.tif,compound,BRD-K78599730-001-03-4,4.540149834,H-BIOA-002-1,CCCC[C@@H](C)/C=C(\\C)/C=C(\\C)/C(=O)NC1=C[C@@](O)(\\C=C\\C=C\\C=C\\C(=O)NC2C(=O)CCC2=O)[C@@H]3O[C@@H]3C1=O,B10,20585,manumycin A,Biomol International Inc.,9,1.26755E+12,20585/,20585/,20585/,20585/,20585/
307,IXMtest_B11_s1_w26A83CE39-C590-4123-9D43-087FBC3EDCB5.tif,IXMtest_B11_s1_w11448F1D2-B2AE-416F-B6E4-18B89B79FEAF.tif,IXMtest_B11_s1_w5FFA0D373-89D5-425B-AFC4-7C0999464E7D.tif,IXMtest_B11_s1_w4B206DDBE-7E94-4499-9877-327B8E001C98.tif,IXMtest_B11_s1_w353400C87-CDE9-4D26-88F0-A97794BA8DE9.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,1,1.26755E+12,20585/,20585/,20585/,20585/,20585/
308,IXMtest_B11_s2_w2606CEF15-173E-48EE-BB8C-1E766CA8AF9B.tif,IXMtest_B11_s2_w1BA027D71-ED46-455D-991B-49C0410DAE1E.tif,IXMtest_B11_s2_w5E8BDBD7E-45FF-4139-9F43-C48B166F74ED.tif,IXMtest_B11_s2_w4C1642B49-42BA-430B-B735-D69597D44414.tif,IXMtest_B11_s2_w3E13E41BB-5122-4675-80AD-6845F8596695.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,2,1.26755E+12,20585/,20585/,20585/,20585/,20585/
309,IXMtest_B11_s3_w2728A03D7-5B0F-4FF0-ACE6-5FC4D015A8FE.tif,IXMtest_B11_s3_w1DE86387F-5207-445A-A9BA-7428E8342E38.tif,IXMtest_B11_s3_w514CA5547-FB18-433C-BEF4-1D1018E29AB5.tif,IXMtest_B11_s3_w49A88BC88-C529-4CE2-AB8B-935DA7B19F9B.tif,IXMtest_B11_s3_w3B172FF9B-617B-4A55-BA0A-EBBBE28EAC4E.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,3,1.26755E+12,20585/,20585/,20585/,20585/,20585/
310,IXMtest_B11_s4_w23774E6CD-5F72-4D76-A934-1014B2B26367.tif,IXMtest_B11_s4_w1441E2692-FE91-43FA-ABC2-5D02C563CF53.tif,IXMtest_B11_s4_w5CE2BD994-B35B-46C9-8EF3-7013D559971F.tif,IXMtest_B11_s4_w40540A324-F393-47B7-8C5E-6B3597E6341B.tif,IXMtest_B11_s4_w37ED43680-353C-41F2-BEB5-45BC26E92BCE.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,4,1.26755E+12,20585/,20585/,20585/,20585/,20585/
311,IXMtest_B11_s5_w2BF951A0C-A978-4859-9B35-06B57A5CEC2E.tif,IXMtest_B11_s5_w13D9CF151-EDDC-4CDB-8F38-6FDB01EA8E4C.tif,IXMtest_B11_s5_w5D50B309E-CCF7-4BCD-B8E1-D6FED8F0329A.tif,IXMtest_B11_s5_w4132E97DA-6E84-4A1C-BCE9-C14DC692AF70.tif,IXMtest_B11_s5_w3382AD998-0980-472B-8D05-7E6875798D55.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,5,1.26755E+12,20585/,20585/,20585/,20585/,20585/
312,IXMtest_B11_s6_w204EB3BD1-7932-48D7-B332-E9126E5815A1.tif,IXMtest_B11_s6_w1CF39A8F2-B102-4D6B-BCEF-BD3D07A59669.tif,IXMtest_B11_s6_w5D210CA6F-03A8-487F-9DCD-C5F3D43DD851.tif,IXMtest_B11_s6_w4D9EFDCB3-F740-4310-9FAF-11DB158F495B.tif,IXMtest_B11_s6_w3145526C7-CA3F-45A4-8D42-9B5056425332.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,6,1.26755E+12,20585/,20585/,20585/,20585/,20585/
313,IXMtest_B11_s7_w25C7997D6-69C7-4068-B0B2-BD4CE6C2893B.tif,IXMtest_B11_s7_w1EB763B88-7CA6-46CD-86C3-C8455FECACEB.tif,IXMtest_B11_s7_w5B0CEC238-B597-4C70-8E64-CF99FE88951F.tif,IXMtest_B11_s7_w41D27C9E9-93C4-41A1-96B4-52C335E6BE15.tif,IXMtest_B11_s7_w30DF304F0-10AE-4718-8FCF-B2F53C94BE78.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,7,1.26755E+12,20585/,20585/,20585/,20585/,20585/
314,IXMtest_B11_s8_w2B85D6844-E107-4C15-9D91-0847DF2362AE.tif,IXMtest_B11_s8_w1D84DC041-8F45-49EE-BAC0-FA460D4D5FAB.tif,IXMtest_B11_s8_w512ACEA7D-6236-4C78-B09E-F82AAA75175A.tif,IXMtest_B11_s8_w48C8BB3BB-D319-4F07-8C92-CBD235C6B3DF.tif,IXMtest_B11_s8_w30E031F22-F716-4F75-8BEF-308A9D7AD80B.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,8,1.26755E+12,20585/,20585/,20585/,20585/,20585/
315,IXMtest_B11_s9_w22FD5C5B6-40F4-4D47-BF1B-AE6FAB700582.tif,IXMtest_B11_s9_w14D667B23-B2EC-414F-AD9D-142EFA84A9CB.tif,IXMtest_B11_s9_w54C45A838-E6ED-454C-BD6B-8E3FF3D075B3.tif,IXMtest_B11_s9_w4704244C5-B4D0-4B67-B351-2E8272127801.tif,IXMtest_B11_s9_w326221064-25EB-44C8-91E0-0552565D3210.tif,compound,BRD-K28307902-001-05-0,3.620409484,H-BIOA-002-1,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(c1)C(F)(F)F,B11,20585,Flutamide,Prestwick Chemical Inc.,9,1.26755E+12,20585/,20585/,20585/,20585/,20585/
316,IXMtest_B12_s1_w28648C732-7EC7-4A16-9ED2-1AF8330FB682.tif,IXMtest_B12_s1_w1465E1FFC-E45E-498D-9BD7-21D0275A2A50.tif,IXMtest_B12_s1_w5F6321381-5407-4495-850D-53D3EE2ADF6E.tif,IXMtest_B12_s1_w4CE1F11C2-3A5B-4432-B84B-B55DCC9341FD.tif,IXMtest_B12_s1_w347819554-794D-4046-AEA9-CF29E3C9C6B4.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,1,1.26755E+12,20585/,20585/,20585/,20585/,20585/
317,IXMtest_B12_s2_w2D8E7CC41-9E1A-4A4C-ADA3-5A3B559935D6.tif,IXMtest_B12_s2_w162DF496F-9D68-4A2F-94CC-9BE3846AAC5F.tif,IXMtest_B12_s2_w5FF93C044-D7E2-4287-A53C-3EDE9D379684.tif,IXMtest_B12_s2_w4148BFF5B-74EA-44BE-AAEA-0CFAA8001558.tif,IXMtest_B12_s2_w35A8888EB-808E-4DC2-BC52-B5A9165AD8BB.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,2,1.26755E+12,20585/,20585/,20585/,20585/,20585/
318,IXMtest_B12_s3_w21AD30CA9-B965-4B38-824C-338AD4BC2CEB.tif,IXMtest_B12_s3_w144D952D6-985A-4EA0-85FF-DCCEF127CAFF.tif,IXMtest_B12_s3_w5FEA04EAE-B448-47AC-A742-DC616B43E187.tif,IXMtest_B12_s3_w49EF08702-9BF2-465E-A41C-8A8DDCB50357.tif,IXMtest_B12_s3_w3FA023CD7-0751-45A4-9DA1-9E6E65BDE9AF.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,3,1.26755E+12,20585/,20585/,20585/,20585/,20585/
319,IXMtest_B12_s4_w2731C86EE-8455-4B45-BDEF-6FFB64ED28D6.tif,IXMtest_B12_s4_w171F09E51-BA28-43B5-AD50-310FB2F977A9.tif,IXMtest_B12_s4_w5AB1BFCFD-2639-46BD-8B86-9F6F8EFD1E81.tif,IXMtest_B12_s4_w41A428D5E-04D7-4739-B09F-4A571B971482.tif,IXMtest_B12_s4_w3E800B0FF-450A-47E0-902A-586739B73816.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,4,1.26755E+12,20585/,20585/,20585/,20585/,20585/
320,IXMtest_B12_s5_w2C2B05A56-9338-418E-9CE5-F50A29542BA7.tif,IXMtest_B12_s5_w10C60C324-04E2-4A98-906A-330A465EBC0F.tif,IXMtest_B12_s5_w5E87F427A-FAC0-4F6A-B116-7B5B06E50576.tif,IXMtest_B12_s5_w4B17CD350-B3B1-4382-88A1-E9EA00AA246D.tif,IXMtest_B12_s5_w3970EC4D5-FC1F-4C5C-A071-F84ECC6BDA5D.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,5,1.26755E+12,20585/,20585/,20585/,20585/,20585/
321,IXMtest_B12_s6_w21BAC233A-32CC-4896-B8BB-AA76D56EA499.tif,IXMtest_B12_s6_w188238D73-6F0B-4C14-8DB6-84538A2D77B0.tif,IXMtest_B12_s6_w5835BCD92-46CD-403E-95BD-474211D342EB.tif,IXMtest_B12_s6_w4053E7E06-B246-4F87-BB39-2F8ABC59DE24.tif,IXMtest_B12_s6_w3C8B8D3FC-5771-4EB7-8656-ABC0AB4A35D4.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,6,1.26755E+12,20585/,20585/,20585/,20585/,20585/
322,IXMtest_B12_s7_w21E67F6CB-4891-410D-A8D3-1AC697E1A643.tif,IXMtest_B12_s7_w120B6355A-F796-4CA9-B5DE-FDCD870EA9A1.tif,IXMtest_B12_s7_w5D39E1F05-33DB-48A9-9F8F-C48F3070DA7D.tif,IXMtest_B12_s7_w4C8517C83-5EA2-47F4-81C8-519D9666C569.tif,IXMtest_B12_s7_w3B1545143-AF9E-43CD-B90A-B73942DD2E94.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,7,1.26755E+12,20585/,20585/,20585/,20585/,20585/
323,IXMtest_B12_s8_w2BFAF167F-7081-4FF5-9884-A511D5127F00.tif,IXMtest_B12_s8_w1198C065B-0037-47F5-A7A0-3F38F321AA17.tif,IXMtest_B12_s8_w5E06AFD9D-1E47-46E1-87B2-26E2D100A275.tif,IXMtest_B12_s8_w41ADC6C20-2407-4175-85A3-708369D3C068.tif,IXMtest_B12_s8_w34A637797-DE87-4341-85EF-81E38607F1A3.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,8,1.26755E+12,20585/,20585/,20585/,20585/,20585/
324,IXMtest_B12_s9_w2EE72A75B-7F3B-46FB-AFD8-62C64066AAF8.tif,IXMtest_B12_s9_w1EF74473F-D6A9-40FA-B16B-6D3A82AF5F87.tif,IXMtest_B12_s9_w5B6E3B20A-3D3B-48A0-96A3-A3C24C532FAE.tif,IXMtest_B12_s9_w42B42E1DC-EFCD-4D5E-9805-C262CA107A41.tif,IXMtest_B12_s9_w388D8E9A6-93E0-46E2-87CB-AC51AD349A59.tif,compound,BRD-K62792802-001-02-8,9.989926158,H-BIOA-002-1,O=C1C=C(Nc2ccccc2)C(=O)c3cccnc13,B12,20585,LY-83583,Biomol International Inc.,9,1.26755E+12,20585/,20585/,20585/,20585/,20585/
325,IXMtest_B13_s1_w274F470A7-4314-4188-8CCD-DE6CD6A270BB.tif,IXMtest_B13_s1_w1E54E7833-0AEB-4525-957D-F78A4954C109.tif,IXMtest_B13_s1_w530E0D4A3-58AC-429E-A886-3DC6123E9CED.tif,IXMtest_B13_s1_w410AC22EE-9953-42AB-B0D1-D5A2B2F759FE.tif,IXMtest_B13_s1_w36F4BCC89-9955-4595-96C0-C3040847A7E7.tif,mock,,,H-BIOA-002-1,,B13,20585,,,1,1.26755E+12,20585/,20585/,20585/,20585/,20585/
326,IXMtest_B13_s2_w23EFF43D4-214A-4826-801F-22C18DD28322.tif,IXMtest_B13_s2_w1D932094A-3B99-483A-ADA8-526EDF71E5BE.tif,IXMtest_B13_s2_w540519D58-BD33-4638-AF4E-78378AFBF1D0.tif,IXMtest_B13_s2_w428DE96B5-5479-4BC1-A090-4F74C5872736.tif,IXMtest_B13_s2_w338D75896-B04A-4CCD-9A2A-8C93F4BE0962.tif,mock,,,H-BIOA-002-1,,B13,20585,,,2,1.26755E+12,20585/,20585/,20585/,20585/,20585/
327,IXMtest_B13_s3_w261C33DF4-B362-4A73-8BBA-41A3C74B494D.tif,IXMtest_B13_s3_w141EBE28E-7FFB-44FC-85C1-53D2CAE906B2.tif,IXMtest_B13_s3_w5D07C49E0-3275-410B-8174-35A859582D07.tif,IXMtest_B13_s3_w4DFADD1EE-F841-4A2A-B3B9-9A01DE00E342.tif,IXMtest_B13_s3_w38323777A-8BCE-4BDC-9E18-55DC279BB315.tif,mock,,,H-BIOA-002-1,,B13,20585,,,3,1.26755E+12,20585/,20585/,20585/,20585/,20585/
328,IXMtest_B13_s4_w243E8FD03-CE34-4964-8763-0972160E4629.tif,IXMtest_B13_s4_w155A28F3A-F1F2-4FFC-9D39-F5CC6065D36B.tif,IXMtest_B13_s4_w57A381055-A2B0-4123-9E55-7733EA6F74BF.tif,IXMtest_B13_s4_w491C7D4CA-F854-42B3-929D-FAF3C8FF2E3F.tif,IXMtest_B13_s4_w33130E17E-BE91-4937-AE46-AE75757EB4AC.tif,mock,,,H-BIOA-002-1,,B13,20585,,,4,1.26755E+12,20585/,20585/,20585/,20585/,20585/
329,IXMtest_B13_s5_w28C0C6F17-55F2-4C5B-8659-F8E07A4D16D5.tif,IXMtest_B13_s5_w10FBA959C-1351-42D1-900B-09CC0C2699FF.tif,IXMtest_B13_s5_w5F490C08C-9638-40E5-85AC-FB8958BEDFB8.tif,IXMtest_B13_s5_w49E8DEBAE-F513-434C-8023-0E87EA160D27.tif,IXMtest_B13_s5_w3F1F5E23A-BD9C-49E5-9731-A0A8DC855DB4.tif,mock,,,H-BIOA-002-1,,B13,20585,,,5,1.26755E+12,20585/,20585/,20585/,20585/,20585/
330,IXMtest_B13_s6_w2B63D431C-A034-419C-8EBC-A77D0025AAE7.tif,IXMtest_B13_s6_w1E3FA8D06-7D0A-47CB-9575-E52650C2615B.tif,IXMtest_B13_s6_w503F28088-8D12-46F4-ABDC-32B26714E604.tif,IXMtest_B13_s6_w4448FF7DF-5D7D-40A3-B9A2-B46F965E484F.tif,IXMtest_B13_s6_w3DF65C25C-F67C-445F-AD3C-FB4D6D277226.tif,mock,,,H-BIOA-002-1,,B13,20585,,,6,1.26755E+12,20585/,20585/,20585/,20585/,20585/
